city,state,age,dateMissing,state_code,city_code,cluster
HAMMOND,IN,62,19740127,16,495,1
HARTFORD,CT,78,19631025,7,500,1
MONTGOMERY,AL,42,19981030,2,781,1
BALTIMORE,MD,60,19791017,21,68,1
RESEDA,CA,17,20181213,5,1009,0
RESEDA,CA,17,20181213,5,1009,0
GRANTS PASS,OR,63,19770719,39,469,1
RESEDA,CA,12,20181213,5,1009,0
SAN JUAN,PR,42,19841215,41,1082,1
DAINGERFIELD,TX,52,19900905,46,290,1
WILLMAR,MN,67,19710101,24,1328,1
MORROW,GA,35,20031012,11,792,0
INDIANAPOLIS,IN,10,20160218,16,553,2
PACIFIC PALISADES,CA,59,19770905,5,909,1
ROCK HILL,SC,29,20141125,43,1029,0
LONGMONT,CO,27,20140408,6,678,0
CAMP LEJEUNE,NC,65,19620913,29,174,1
CAMP LEJEUNE,NC,69,19620913,29,174,1
MARSHALL,MN,36,20080514,24,721,1
JACKSONVILLE,FL,10,20140814,10,563,0
STUTTGART,AR,26,20140914,3,1179,0
BALTIMORE,MD,60,19690421,21,68,1
PARKVILLE,MD,54,19840303,21,924,1
SAN MATEO,CA,66,19760608,5,1086,1
SANBORN TOWNSHIP,MI,57,19830903,23,1092,1
COLUMBIA,SC,62,19720423,43,254,1
SAN DIEGO,CA,43,19910715,5,1077,0
MIAMI,FL,28,20010118,10,746,0
NEKOOSA,WI,27,19990820,52,820,2
SAINT LOUIS,MO,31,20030611,25,1063,0
PLANTATION,FL,42,20000930,10,955,1
CAROLINA BEACH,NC,34,20090801,29,183,2
NIAGARA FALLS,NY,45,19820505,36,841,1
CENTER,TX,43,19830607,46,198,2
FORT LAUDERDALE,FL,65,19801102,10,404,1
TRENTON,MI,49,19901016,23,1229,1
BOYNTON BEACH,FL,56,19880209,10,133,1
AMITYVILLE,NY,34,19931113,36,28,2
DUBLIN,CA,50,19890130,5,320,1
CONWAY,SC,26,20020929,43,262,2
MALMSTROM,MT,70,19721108,28,705,1
MICANOPY,FL,38,19880101,10,751,0
WEST COVINA,CA,43,19980302,5,1307,0
CORSICANA,TX,38,20040122,46,270,2
PORTLAND,OR,67,19750112,39,970,1
CHARLOTTE,NC,27,20131122,29,211,2
BOWIE,MD,25,20160330,21,131,2
LONG BEACH,CA,13,20150312,5,677,0
LONG BEACH,CA,14,20150312,5,677,0
ORRVILLE,OH,100,19281227,37,901,1
JUNCTION CITY,KS,59,19780704,17,578,1
FULLERTON,CA,36,20060326,5,423,2
PITTSBURGH,PA,39,20020307,40,950,1
BRONX,NY,31,19960615,36,146,2
SNOHOMISH,WA,30,20110808,51,1143,0
HAZARD,KY,23,20150901,18,504,2
TAMPA,FL,34,19980911,10,1196,0
KITTITAS,WA,31,20040912,51,605,2
GRAND PRAIRIE,TX,38,20020909,46,466,2
FAIRMONT,NC,28,20150204,29,379,2
TAHOLAH,WA,59,19790830,51,1191,1
LOS ANGELES,CA,35,20050915,5,682,0
BISHOP,CA,22,20181013,5,105,2
LITTLETON,CO,35,19990207,6,669,0
TUNNEL HILL,GA,61,19801215,11,1237,1
EAST MEADOW,NY,72,19551031,36,334,1
MAGNA,UT,30,20090407,47,701,2
ROANOKE,VA,6,20180911,48,1025,0
LIVE OAK,FL,68,19760924,10,670,1
EAST POINT,GA,41,20000717,11,335,1
JACKSON,MI,46,19850508,23,562,1
SEATTLE,WA,54,19870415,51,1119,1
MONTICELLO,FL,38,20010416,10,782,0
GWINNETT,GA,33,20050506,11,487,2
ARNOLD,MO,67,19720804,25,47,1
PATERSON,NJ,37,20000722,33,927,1
PATERSON,NJ,37,20000609,33,927,1
GLOUCESTER,NJ,36,20051127,33,452,2
MIAMI,FL,33,20081017,10,746,0
TEMPE,AZ,59,19821019,4,1201,1
LAKEVILLE,CT,82,19520716,7,632,1
WILMINGTON,DE,22,20021208,9,1332,0
PERU,NY,64,19730213,36,936,1
KENNEBUNK,ME,71,19640801,22,591,1
WARRENTON,OR,59,19830930,39,1288,1
PENSACOLA,FL,22,20160315,10,932,0
MIDWEST CITY,OK,52,19890214,38,759,1
JEFFERSON,LA,46,19841216,19,566,1
ALBANY,OR,71,19690716,39,13,1
CONNERSVILLE,IN,57,19860328,16,259,1
SPLENDORA,TX,27,20161025,46,1155,0
ADELANTO,CA,23,20180528,5,5,2
COLORADO SPRINGS,CO,39,19860715,6,253,2
NIPTON,CA,44,19821009,5,844,1
CHEHALIS,WA,33,20100420,51,216,2
BALTIMORE,MD,29,20050701,21,68,2
LACKAWANNA,NY,66,19771021,36,620,1
PORT ORCHARD,WA,55,19861126,51,964,1
WASSAIC,NY,68,19730924,36,1293,1
EL PASO,TX,56,19830427,46,345,1
SAINT GEORGE,UT,26,20150901,47,1059,0
BONITA SPRINGS,FL,35,20090325,10,123,2
HUNTINGTON PARK,CA,33,20120103,5,544,0
CHAMPAIGN,IL,15,20150207,15,205,2
CHAMPAIGN,IL,15,20150207,15,205,2
CRATER LAKE,OR,26,20061014,39,276,2
IRVING,TX,21,20060621,46,558,2
SAN FRANCISCO,CA,34,20100515,5,1079,0
MCCLOUD,CA,43,19970604,5,729,1
ALEXANDRIA,VA,38,19981021,48,15,2
TALLAHASSEE,FL,51,19940524,10,1193,1
HAMILTON TOWNSHIP,NJ,61,19791023,33,494,1
LAS VEGAS,NV,32,19991020,35,638,2
MESA,AZ,39,20030308,4,741,0
TUCSON,AZ,25,20170617,4,1233,0
LAREDO,TX,34,20060828,46,635,2
MEDFORD,OR,34,20080613,39,733,1
ORLANDO,FL,36,20020128,10,898,0
PHOENIX,AZ,24,20160616,4,942,0
NORTH CHARLESTON,SC,66,19740906,43,853,1
WOODLAND,NC,67,19630111,29,1343,1
MOORE,OK,48,19920602,38,785,1
BRATTLEBORO,VT,30,20110827,50,137,2
ANDERSON,IN,59,19790905,16,33,1
SAWYER,MI,58,19730901,23,1109,1
ROCKY FORD,CO,57,19821101,6,1035,1
MIAMI,FL,38,20020505,10,746,0
JACKSONVILLE,FL,21,20040422,10,563,2
SAN JUAN,TX,24,20161209,46,1082,0
CANTON,MS,22,20161022,27,178,2
VAN NUYS,CA,44,19921101,5,1260,0
CHICAGO,IL,38,20061121,15,219,2
DAYTON,OH,15,20140325,37,299,2
SPRINGFIELD,MO,52,19920607,25,1165,1
SPRINGFIELD,MO,50,19920607,25,1165,1
NILES,MI,59,19810502,23,843,1
GROVE CITY,PA,69,19731026,40,481,1
KILLEEN,TX,39,20050613,46,599,1
BISBEE,AZ,33,20060405,4,103,2
CHICAGO,IL,64,19730726,15,219,1
LAKE BLUFF,IL,16,20130331,15,624,0
ARLINGTON,VA,69,19720511,48,46,1
WOODLAND,CA,25,20161104,5,1343,0
MANOR,TX,51,19891210,46,709,1
ROCKINGHAM,NC,51,19920207,29,1031,1
FRESNO,CA,37,20050827,5,420,2
KLAMATH FALLS,OR,47,19950308,39,606,1
CRESTVIEW,FL,44,19970802,10,279,1
WORCESTER,MA,29,20130608,20,1349,0
BOYNTON BEACH,FL,24,20170429,10,133,2
POMPANO BEACH,FL,66,19720229,10,960,1
COLUMBIA,MO,31,20110422,25,254,2
PHILADELPHIA,PA,73,19661015,40,941,1
LAKE HAVASU CITY,AZ,26,20021009,4,628,0
LEADORE,ID,12,20150710,14,648,0
STATEN ISLAND,NY,58,19720707,36,1169,1
VERNON,CT,64,19741101,7,1268,1
JERICHO,VT,52,19780607,50,568,1
SCHENECTADY,NY,68,19710809,36,1110,1
LAS VEGAS,NM,32,20120630,34,638,2
STATEN ISLAND,NY,37,20050126,36,1169,0
WESTMINSTER,CA,44,20001224,5,1314,0
DUSON,LA,27,20120430,19,327,2
NEW YORK,NY,73,19720313,36,835,1
SAINT PETERSBURG,FL,30,20120725,10,1066,0
NEW LONDON,MN,40,20020801,24,831,1
LAWRENCE,MA,68,19740808,20,645,1
VERNON,CT,70,19680724,7,1268,1
LOS ANGELES,CA,37,19940630,5,682,0
FORT MYERS,FL,28,20050120,10,406,2
SAN DIEGO,CA,25,20020425,5,1077,0
ANAHOLA,HI,53,19860818,12,31,1
EAST BRUNSWICK,NJ,42,19990719,33,331,1
PORT TOWNSEND,WA,55,19730327,51,968,1
ABERDEEN,WA,45,19821221,51,1,2
HONOLULU,HI,26,20150929,12,538,2
OAK RIDGE,TN,24,20160929,45,873,0
ESPARTO,CA,25,20161016,5,362,2
SOUTH ELGIN,IL,26,20160506,15,1149,0
NEW YORK,NY,15,20130914,36,835,0
AVONDALE,AZ,24,20010506,4,62,2
MONTEBELLO,CA,64,19760101,5,779,1
FONTANA,CA,33,20060623,5,398,2
AURORA,MO,58,19850301,25,60,1
FORT MYERS,FL,25,20160404,10,406,2
BLOOMINGTON,CA,43,19970117,5,113,2
DALLAS,TX,35,19890914,46,292,2
BATAVIA,OH,53,19870626,37,72,1
OAK HARBOR,WA,48,19921105,51,871,1
FORKS,WA,58,19810805,51,400,1
CHICAGO,IL,78,19630715,15,219,1
CRESWELL,OR,67,19731015,39,280,1
DENVER,CO,26,20100723,6,307,2
LOS ANGELES,CA,64,19730930,5,682,1
CORVALLIS,OR,19,20091107,39,271,2
CORVALLIS,OR,21,20091107,39,271,2
FAIRFAX,OH,70,19641015,37,376,1
MONROE CITY,MO,73,19680218,25,777,1
FAIRFAX,OH,70,19641015,37,376,1
KANSAS CITY,MO,39,20011031,25,586,1
BOONE,NC,28,20160421,29,124,2
EL PASO,TX,51,19870307,46,345,1
ELYRIA,OH,47,19950622,37,354,1
BURLINGTON,NJ,65,19740624,33,166,1
